img_name,defect
img_03230,ST1
img_10225,W
img_01359,ND3
img_12679,W
img_10424,W
img_13336,W
img_12672,W
img_06708,ST3
img_08647,ST5
img_05942,ST2
img_05995,ST3
img_13625,W
img_04732,ST1
img_10902,W
img_11300,W
img_06656,ST3
img_03070,PND5
img_06299,ST3
img_09895,W
img_13280,W
img_07628,ST3
img_04612,ST1
img_01722,ND7
img_01146,ND2
img_10300,W
img_10320,W
img_05602,ST2
img_04233,ST1
img_08405,ST5
img_05476,ST2
img_04718,ST1
img_00467,ND1
img_03425,ST1
img_03328,ST1
img_11385,W
img_06024,ST3
img_08485,ST5
img_01186,ND2
img_09101,ST6
img_08959,ST6
img_10387,W
img_08985,ST6
img_09821,W
img_04529,ST1
img_10660,W
img_06657,ST3
img_04106,ST1
img_00641,ND1
img_13713,W
img_12658,W
img_03353,ST1
img_10959,W
img_00014,BG1
img_07475,ST3
img_06553,ST3
img_13297,W
img_05782,ST2
img_05210,ST2
img_03961,ST1
img_07983,ST3
img_11226,W
img_07329,ST3
img_01890,PND1
img_06818,ST3
img_06923,ST3
img_04417,ST1
img_09643,ST6
img_03915,ST1
img_11716,W
img_05406,ST2
img_00603,ND1
img_13339,W
img_06093,ST3
img_13102,W
img_11532,W
img_08185,ST4
img_02804,PND3
img_11529,W
img_04779,ST1
img_08075,ST4
img_00915,ND1
img_02299,PND1
img_13727,W
img_09822,W
img_09502,ST6
img_05323,ST2
img_10303,W
img_06271,ST3
img_08698,ST6
img_01851,PND1
img_09193,ST6
img_04776,ST1
img_06544,ST3
img_05618,ST2
img_02748,PND2
img_06792,ST3
img_02039,PND1
img_01187,ND2
img_10696,W
img_12572,W
img_04759,ST1
img_12774,W
img_07781,ST3
img_01176,ND2
img_11407,W
img_01925,PND1
img_12965,W
img_08646,ST5
img_08209,ST4
img_00103,BG2
img_07474,ST3
img_11113,W
img_08395,ST5
img_01970,PND1
img_08482,ST5
img_13455,W
img_06952,ST3
img_05197,ST2
img_10213,W
img_06902,ST3
img_13426,W
img_11154,W
img_01613,ND6
img_07127,ST3
img_07991,ST3
img_10921,W
img_11546,W
img_10227,W
img_04994,ST1
img_09913,W
img_05138,ST1
img_07016,ST3
img_07216,ST3
img_04911,ST1
img_09118,ST6
img_13162,W
img_09948,W
img_08599,ST5
img_11246,W
img_00539,ND1
img_10444,W
img_05178,ST2
img_00161,BG2
img_06991,ST3
img_01123,ND1
img_00006,BG1
img_07376,ST3
img_13166,W
img_07244,ST3
img_02006,PND1
img_13363,W
img_13018,W
img_07952,ST3
img_07935,ST3
img_09726,ST7
img_09025,ST6
img_01730,ND7
img_07189,ST3
img_09150,ST6
img_11126,W
img_06552,ST3
img_10641,W
img_00481,ND1
img_08560,ST5
img_02273,PND1
img_11484,W
img_09470,ST6
img_09672,ST7
img_05162,ST1
img_03534,ST1
img_11831,W
img_07705,ST3
img_05876,ST2
img_11800,W
img_07396,ST3
img_09735,ST7
img_12784,W
img_12240,W
img_03923,ST1
img_12899,W
img_01371,ND3
img_03084,PND5
img_07283,ST3
img_07695,ST3
img_01675,ND6
img_06126,ST3
img_13009,W
img_11622,W
img_08412,ST5
img_13003,W
img_03584,ST1
img_05342,ST2
img_08795,ST6
img_05184,ST2
img_11074,W
img_04257,ST1
img_01367,ND3
img_07362,ST3
img_04449,ST1
img_09967,W
img_04185,ST1
img_10642,W
img_05175,ST2
img_12213,W
img_01304,ND2
img_12245,W
img_11815,W
img_05186,ST2
img_12405,W
img_03366,ST1
img_11078,W
img_05181,ST2
img_07548,ST3
img_11352,W
img_10998,W
img_04904,ST1
img_10171,W
img_12367,W
img_07675,ST3
img_05689,ST2
img_12755,W
img_12318,W
img_02753,PND2
img_01449,ND5
img_01782,PND1
img_13204,W
img_09713,ST7
img_03301,ST1
img_11635,W
img_03200,PND6
img_08080,ST4
img_05569,ST2
img_07895,ST3
img_01847,PND1
img_08790,ST6
img_04297,ST1
img_10203,W
img_00048,BG1
img_11958,W
img_08085,ST4
img_08638,ST5
img_00881,ND1
img_10244,W
img_07754,ST3
img_06380,ST3
img_06686,ST3
img_05697,ST2
img_09942,W
img_05831,ST2
img_03205,PND6
img_06728,ST3
img_13101,W
img_09912,W
img_03037,PND5
img_02973,PND5
img_05329,ST2
img_10499,W
img_12792,W
img_06117,ST3
img_08464,ST5
img_11863,W
img_13235,W
img_00071,BG2
img_00677,ND1
img_11221,W
img_04379,ST1
img_04630,ST1
img_05297,ST2
img_06417,ST3
img_01725,ND7
img_05264,ST2
img_12818,W
img_00982,ND1
img_11753,W
img_01113,ND1
img_04161,ST1
img_03383,ST1
img_04507,ST1
img_07388,ST3
img_00617,ND1
img_08994,ST6
img_09627,ST6
img_01280,ND2
img_09684,ST7
img_05199,ST2
img_04225,ST1
img_12540,W
img_06964,ST3
img_08830,ST6
img_12204,W
img_05675,ST2
img_07029,ST3
img_09130,ST6
img_10659,W
img_04693,ST1
img_00269,BG2
img_11580,W
img_02297,PND1
img_10666,W
img_00562,ND1
img_02799,PND3
img_05606,ST2
img_12246,W
img_08899,ST6
img_05858,ST2
img_03117,PND6
img_04602,ST1
img_12285,W
img_00634,ND1
img_03174,PND6
img_10261,W
img_08178,ST4
img_07275,ST3
img_05863,ST2
img_09550,ST6
img_10643,W
img_01879,PND1
img_01499,ND5
img_10460,W
img_05624,ST2
img_05856,ST2
img_06588,ST3
img_11577,W
img_13195,W
img_02262,PND1
img_10263,W
img_12350,W
img_05516,ST2
img_07509,ST3
img_10420,W
img_09553,ST6
img_00960,ND1
img_07706,ST3
img_11466,W
img_02412,PND1
img_06930,ST3
